sl	movie_name	imdb_id	file_name	file_format	how_parsed	parse_status	file_location	attributes	CSM id
1	10 Things I Hate About You	tt0147800	10_things_i_hate_about_you.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	https://www.commonsensemedia.org/movie-reviews/10-things-i-hate-about-you
2	127 Hours	tt1542344	127_hours.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	11ea2756-947b-4709-9a10-0dcd307adc40
3	12 and Holding	tt0417385	12_and_holding.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
4	Twelve Monkeys	tt0114746	12_monkeys.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	941e9623-273f-4220-8f99-29bc93973dea
5	12 Years a Slave	tt2024544	12_years_a_slave.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	https://www.commonsensemedia.org/movie-reviews/12-years-a-slave
6	Thirteen Days	tt0146309	13_days.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	913c896c-2e83-41b2-9a0e-41d1a7d82d53
7	1492	tt0103594	1492_conquest_of_paradise.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
8	15 Minutes	tt0179626	15_minutes.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	https://www.commonsensemedia.org/movie-reviews/15-minutes
9	17 Again	tt0974661	17_again.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	d018a555-be4a-4edb-9dd8-9465720e34c4
10	One Eight Seven	tt0118531	187.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
11	2001	tt0062622	2001_a_space_odyssey.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	ca63c2a6-f2bf-44a4-a52b-fb79a200ea2a
12	2012	tt1190080	2012.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	a92c5e4d-3044-486b-8861-956dbcdcbb02
13	Three Kings	tt0120188	3_kings.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	f0a5a899-0f04-4405-81b9-94f7c5709ca1
14	42	tt0453562	42.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	78d51262-65ad-415f-9238-2dc90ba7d045
15	44 Inch Chest	tt0914837	44_inch_chest.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
16	48 Hrs.	tt0083511	48_hrs..txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	cab97b5c-7bd8-47c4-b5d8-fbe57071e9ce
17	50/50	tt1306980	5050.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	0d401c26-3396-4512-a343-c4225811ab33
18	8MM	tt0134273	8_millimeter.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
19	9	tt0472033	9.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	6e883bcd-85e2-48c0-b033-543471837ead
20	Few Good Men, A	tt0104257	a_few_good_men.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	80f954df-adda-4dab-96a7-2a0b461d66e9
